keyword	mandatory	table_meta	language_dependent	indexed_by_contvariable	quote_value	default_value	documentation
SUBJECT-AREA	TRUE	TRUE	TRUE	FALSE	TRUE	subject-area	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A35%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C161%2C0%5D
CONFIDENTIAL	FALSE	TRUE	FALSE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A41%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C258%2C0%5D
COPYRIGHT	FALSE	TRUE	FALSE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A42%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C302%2C0%5D
DESCRIPTION	NA	TRUE	TRUE	FALSE	TRUE		https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A34%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C229%2C0%5D
TITLE	NA	TRUE	TRUE	FALSE	TRUE		https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A36%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C533%2C0%5D
DESCRIPTIONDEFAULT	FALSE	TRUE	FALSE	FALSE	FALSE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A45%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C440%2C0%5D
CONTENTS	TRUE	TRUE	TRUE	FALSE	TRUE	contents	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A32%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C629%2C0%5D
STUB	NA	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A35%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C329%2C0%5D
HEADING	NA	FALSE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A35%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C610%2C0%5D
CONTVARIABLE	FALSE	TRUE	TRUE	FALSE	TRUE	NA	https://www.scb.se/globalassets/vara-tjanster/px-programmen/px-file_format_specification_2013.pdf#%5B%7B%22num%22%3A42%2C%22gen%22%3A0%7D%2C%7B%22name%22%3A%22XYZ%22%7D%2C184%2C484%2C0%5D
